Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
1922.29,-0.10,-0.23,0.01,-0.29
1922.38,-0.39,-0.33,-0.11,-0.37
1922.46,-0.29,-0.30,0.02,-0.40
1922.54,-0.07,-0.27,-0.07,-0.38
1922.63,-0.22,-0.32,-0.26,-0.36
1922.71,-0.17,-0.35,-0.33,-0.38
1922.79,-0.23,-0.31,-0.33,-0.32
1922.88,-0.09,-0.14,0.02,-0.22
1922.96,-0.19,-0.19,-0.09,-0.25
1923.04,-0.26,-0.27,-0.08,-0.33
1923.13,-0.30,-0.39,-0.60,-0.37
1923.21,-0.25,-0.34,-0.35,-0.34
1923.29,-0.48,-0.40,-0.67,-0.27
1923.38,-0.33,-0.33,-0.44,-0.28
1923.46,-0.36,-0.29,-0.14,-0.32
1923.54,-0.48,-0.31,-0.33,-0.32
1923.63,-0.42,-0.33,-0.24,-0.39
1923.71,-0.32,-0.31,-0.14,-0.37
1923.79,-0.13,-0.13,0.12,-0.29
1923.88,-0.05,-0.03,0.30,-0.17
1923.96,-0.05,-0.03,0.20,-0.10
1924.04,-0.26,-0.22,-0.35,-0.15
1924.13,-0.37,-0.23,-0.28,-0.17
1924.21,-0.16,-0.08,0.01,-0.15
1924.29,-0.42,-0.30,-0.44,-0.16
1924.38,-0.29,-0.18,-0.14,-0.18
1924.46,-0.22,-0.26,-0.16,-0.26
1924.54,-0.20,-0.29,-0.13,-0.35
1924.63,-0.20,-0.36,-0.27,-0.42
1924.71,-0.09,-0.32,-0.11,-0.43
1924.79,-0.20,-0.35,-0.22,-0.43
1924.88,-0.10,-0.20,0.28,-0.46
1924.96,-0.39,-0.43,-0.45,-0.46
1925.04,-0.47,-0.37,-0.26,-0.42
1925.13,-0.41,-0.39,-0.35,-0.41
1925.21,-0.31,-0.27,-0.12,-0.33
1925.29,-0.17,-0.26,0.03,-0.36
1925.38,-0.33,-0.29,-0.26,-0.29
1925.46,-0.41,-0.33,-0.32,-0.28
1925.54,-0.36,-0.27,-0.33,-0.24
1925.63,-0.20,-0.21,-0.11,-0.23
1925.71,-0.35,-0.19,-0.03,-0.24
1925.79,-0.29,-0.17,-0.24,-0.14
1925.88,0.00,0.06,0.42,-0.09
1925.96,0.18,0.06,0.52,-0.11
1926.04,0.32,0.21,0.84,-0.09
1926.13,0.23,0.03,0.53,-0.15
1926.21,0.20,0.12,0.61,-0.15
1926.29,-0.09,-0.12,-0.18,-0.09
1926.38,-0.32,-0.23,-0.38,-0.13
